Date/Time,ZONE_0_SRF_0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_0_GLZ_0_0B10DB01F72D42B1AAB0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_1:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_2:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_3:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_4:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_5:Surface Inside Face Temperature [C](Hourly) 
 12/19  10:00:00,17.66407895339273,0.4775212079785452,18.149075869879419,18.041716846592146,18.149075869879419,17.121583745749694,17.982245239213606 
 12/19  11:00:00,17.892526506721017,1.8714083759390879,18.50087387551603,18.399482187323966,18.50087387551603,17.400251453830508,18.29077923217623 
 12/19  12:00:00,18.101820155524679,2.764536026199105,18.817708642652616,18.721069588742144,18.817708642652616,17.67934027128457,18.562983592144375 
 12/19  13:00:00,18.361546914908819,3.2603235806131845,19.1783126621055,19.08652359902595,19.1783126621055,18.023808112202535,18.892399671190913 
 12/19  14:00:00,18.470996071310105,3.7406523068984165,19.32276207605083,19.229996193176196,19.32276207605083,18.194782800644945,18.96036230074332 
 12/19  15:00:00,18.40824200811889,3.913425142487976,19.231447514483766,19.135234282233534,19.231447514483773,18.209756704338404,18.868209032223004 
 12/19  16:00:00,18.226177013851737,3.4826301098138026,18.966023887214118,18.86481354626723,18.966023887214136,18.08805754219165,18.634372355725334 
 12/19  17:00:00,17.955556505943134,2.8559811783658426,18.5765106206852,18.469548652421616,18.576510620685217,17.849462588283033,18.30798385712248 
 12/19  18:00:00,17.777482646952945,2.4323699908589355,18.32203262588418,18.214329701508658,18.322032625884185,17.693594775482976,18.154996750157208 
 12/19  19:00:00,17.675310932116486,1.7003214223062838,18.162735811470744,18.05399305678284,18.16273581147074,17.561337347474898,18.021849700960286 
 12/19  20:00:00,17.589593758366175,0.9740647794100047,18.027238752394426,17.91626917252526,18.027238752394426,17.4255633320034,17.889054882269514 
 12/19  21:00:00,17.50588496356873,0.1489692470966304,17.89577397584192,17.78174341149694,17.89577397584192,17.283541284177188,17.75200878570985 
 12/19  22:00:00,17.43357959996135,-0.08254489956359142,17.79376819126201,17.67790770428984,17.793768191262008,17.1620771292846,17.66439666876684 
 12/19  23:00:00,17.391344438119295,0.18825480158128964,17.754622722706775,17.639303567915964,17.754622722706775,17.083012944886993,17.637212832724975 
 12/19  24:00:00,17.349693907332737,-0.27613094956091308,17.706189280599415,17.589586748616509,17.706189280599415,16.993082145559599,17.566060818436406 
 12/20  01:00:00,17.287857444285895,-0.8881647655311346,17.62002062611948,17.500458591405047,17.62002062611948,16.88357458928497,17.46960550548119 
 12/20  02:00:00,17.229495880934445,-1.2080595700302202,17.546724499554754,17.425318483637793,17.54672449955475,16.78770059667089,17.399119496626594 
 12/20  03:00:00,17.181273559436794,-1.3612406405724187,17.494589904470709,17.372239570958976,17.494589904470709,16.707482533938188,17.348953284693829 
 12/20  04:00:00,17.134676020295968,-1.5590023519946026,17.44448887006198,17.321011679325996,17.44448887006198,16.629984955266566,17.2974171618262 
 12/20  05:00:00,17.098737212101093,-1.4207195885863467,17.417331521946584,17.293780083813524,17.417331521946584,16.57322763129868,17.277550485317 
 12/20  06:00:00,17.07210821667833,-1.4354612306895452,17.402826078332116,17.27923371692928,17.402826078332116,16.526348625248454,17.25801998273032 
 12/20  07:00:00,17.038915364402329,-1.6865944745296038,17.371494128538875,17.24679498657351,17.371494128538868,16.471147559951313,17.217982003396938 
 12/20  08:00:00,17.061512777035984,-1.7954764486240909,17.419743147050715,17.296398885053013,17.41974314705072,16.495874623818815,17.290520212823045 
 12/20  09:00:00,17.271145579715144,-1.6616950994065765,17.722575789117906,17.60550972012155,17.722575789117909,16.72417409904905,17.582986672475806 
 12/20  10:00:00,17.538954219865564,-0.41619954097348,18.117119294293933,18.007023221220636,18.11711929429394,17.024728388628075,17.935324478869846 
 12/20  11:00:00,17.85414883719072,1.4841212827861153,18.596753602158818,18.495977773274807,18.596753602158825,17.415119647185035,18.378519046868246 
 12/20  12:00:00,18.15698757581617,2.2386194506002066,19.032189768374747,18.93703432447221,19.032189768374754,17.794132725742196,18.73086895945917 
 12/20  13:00:00,18.364294968805976,2.128279157682234,19.297236694236735,19.201740521755295,19.297236694236735,18.072192189079546,18.910975866456366 
 12/20  14:00:00,18.39036693103162,2.1189194386272356,19.309332252698657,19.209899373316689,19.30933225269866,18.176131882865069,18.887137420548965 
 12/20  15:00:00,18.346026241747376,2.400808013147639,19.235350259542864,19.13439258630483,19.235350259542864,18.22766097380921,18.853099659585327 
 12/20  16:00:00,18.159977415298394,1.9979029964284128,18.960380739170465,18.854291660038198,18.960380739170465,18.09005466110881,18.581829370692295 
 12/20  17:00:00,17.805427917621239,0.8410318117528656,18.443533354322637,18.328388244552767,18.443533354322637,17.75136188925341,18.12092438789023 
 12/20  18:00:00,17.561733587470618,0.22029294406904874,18.091910329777606,17.974813973572045,18.091910329777606,17.524463884052964,17.90395542116546 
 12/20  19:00:00,17.429549887180547,-0.4822098327865281,17.894308215611784,17.776676252145774,17.894308215611784,17.351440398320709,17.74770108489152 
 12/20  20:00:00,17.337725668096569,-0.6049329055748179,17.764821266020975,17.646716871658673,17.76482126602097,17.204522417531764,17.64344740413641 
 12/20  21:00:00,17.30308263247787,0.325406454904235,17.747731275097864,17.63260632555428,17.747731275097864,17.132968031775304,17.65677563768236 
 12/20  22:00:00,17.33313338996337,2.107708110561248,17.847030655720599,17.73810151902383,17.847030655720599,17.148404697166737,17.78502276565503 
 12/20  23:00:00,17.39908009897439,3.3695368389605089,17.993584915352718,17.89033589573525,17.993584915352718,17.202652828171059,17.916160818630759 
 12/20  24:00:00,17.442696457171509,3.4362861481686766,18.072637050634574,17.970362105096837,18.072637050634574,17.223029741429074,17.953216487821974 
 12/21  01:00:00,17.465421447447747,3.720116424464569,18.11018125077118,18.00798995503641,18.110181250771185,17.237472430480748,17.989073021589407 
 12/21  02:00:00,17.497443858543908,4.0945241885271559,18.161997282345835,18.061133501113916,18.161997282345835,17.27068652805299,18.042423253464766 
 12/21  03:00:00,17.532863925616455,4.4598435145855339,18.21390900995235,18.11443320391907,18.21390900995235,17.30937509215172,18.09578141383525 
 12/21  04:00:00,17.572234078818345,4.843597235962932,18.2683432362944,18.17038011122438,18.2683432362944,17.354679340990079,18.152650355426 
 12/21  05:00:00,17.61632803785879,5.250674488295469,18.32781818498584,18.231551736719046,18.32781818498584,17.407514506149533,18.214717662170469 
 12/21  06:00:00,17.6668040718048,5.788057801243601,18.397251770747997,18.303117677630764,18.397251770747997,17.471763198268808,18.290636194667415 
 12/21  07:00:00,17.72159211422507,6.160822954700033,18.469139903725574,18.376923345946524,18.469139903725574,17.53932714796161,18.35967732119066 
 12/21  08:00:00,17.816758479306686,6.729457086921343,18.59874439218763,18.51023296330832,18.59874439218763,17.66654966471167,18.515935352282545 
 12/21  09:00:00,18.09916715468788,7.234481252342779,18.980682675655335,18.90076999655598,18.980682675655335,17.997488566631259,18.900295830555004 
 12/21  10:00:00,18.53004505346306,7.698471065732434,19.54609244796548,19.475171158661376,19.54609244796548,18.477329614439417,19.418130865045347 
 12/21  11:00:00,19.082358107515835,8.345807733752972,20.26275226683516,20.20063378127387,20.26275226683516,19.084999839614054,20.03238752309404 
 12/21  12:00:00,19.35526762664644,8.674778758520433,20.583276753818237,20.518114118040598,20.583276753818237,19.395814285439199,20.190295466156145 
 12/21  13:00:00,19.55925170036757,8.744341430204079,20.808506023360157,20.742902805871358,20.808506023360157,19.710102491820974,20.412135038482817 
 12/21  14:00:00,19.633515150353948,8.590255259351438,20.84284218262029,20.773707591113835,20.84284218262029,19.864784649507823,20.406523209404644 
 12/21  15:00:00,19.516199535522508,8.75315958891079,20.631988772124556,20.55813720750667,20.631988772124556,19.83106065090638,20.219313773286435 
 12/21  16:00:00,19.264688212494609,8.773081159886394,20.254654521338009,20.17677933198134,20.254654521338009,19.651851691402233,19.91147099298973 
 12/21  17:00:00,18.951597789558613,8.549673910146169,19.800244078447084,19.71902357086459,19.800244078447084,19.381559227045654,19.55786825419797 
 12/21  18:00:00,18.76941161998606,8.583422676966848,19.537353615789205,19.458291257220556,19.537353615789205,19.222805240803827,19.419378542318083 
 12/21  19:00:00,18.70011644902765,8.773682393737744,19.4329642126948,19.356953182253539,19.4329642126948,19.1283920106641,19.36246220602416 
 12/21  20:00:00,18.66707320343183,8.72437008307737,19.37670977729424,19.30184694497063,19.37670977729425,19.04522228900099,19.305294945856443 
 12/21  21:00:00,18.638734483654436,8.562785351335976,19.322869526890917,19.247528246481637,19.32286952689093,18.961788875679024,19.24397130817631 
 12/21  22:00:00,18.623076384824306,8.690041205556222,19.29262626851274,19.21734658340391,19.29262626851274,18.899714145180089,19.218589649490313 
 12/21  23:00:00,18.60644445761823,8.254506610404045,19.25172584021958,19.17510505262337,19.25172584021958,18.82789571830431,19.15485424437269 
 12/21  24:00:00,18.580893808734904,8.30851146633944,19.20258417749062,19.124898316465694,19.20258417749062,18.761153540497835,19.117028518011094 
